Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-Jun-20,1495,1593,1495,1588.8,1551.604176,772239,29168,1198209257,129587,16.78,98,93.8
11-Jun-20,1569,1569,1530.95,1537.5,1546.550663,330910,16229,511769080,94120,28.44,38.05,-31.5
10-Jun-20,1541.1,1579,1540.6,1572,1558.718947,421611,18078,657173054,83326,19.76,38.4,30.9
09-Jun-20,1580,1582.35,1533.05,1537.1,1555.926913,504634,21273,785173622,100603,19.94,49.3,-42.9
08-Jun-20,1624,1624,1565.05,1570.05,1586.697902,1111940,30116,1764312865,173493,15.6,58.95,-53.95
05-Jun-20,1601.9,1617.7,1574.3,1580.6,1595.635681,658406,28276,1050576106,133745,20.31,43.4,-21.3
04-Jun-20,1540,1589,1540,1579.95,1568.842672,710718,28904,1115004726,160643,22.6,49,39.95
03-Jun-20,1545,1559,1533.25,1542.45,1543.623706,444528,20818,686183959,126626,28.49,25.75,-2.55
02-Jun-20,1521,1540,1521,1536.1,1532.295477,418550,22789,641342272,112699,26.93,19,15.1
01-Jun-20,1480,1539.2,1475.65,1520.45,1515.905038,1016979,35937,1541643590,246355,24.22,63.55,40.45
29-May-20,1470.7,1471.5,1453,1465.2,1461.243706,590240,20172,862484485,251562,42.62,18.5,-5.5
28-May-20,1455,1479.2,1450.55,1472.65,1467.164315,641847,26500,941695014,166443,25.93,28.65,17.65
27-May-20,1434,1454.1,1412.2,1446.95,1431.54252,627533,26036,898340172,174486,27.8,41.9,12.95
26-May-20,1439.4,1449,1416.3,1423.7,1428.983534,468721,19817,669794591,135697,28.95,32.7,-15.7
22-May-20,1454.8,1458.5,1426.8,1431.6,1441.699194,579294,23822,835167693,108878,18.79,31.7,-23.2
21-May-20,1438,1460.85,1425.35,1440.05,1444.263012,558823,22685,807087389,84382,15.1,35.5,2.05
